epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3069.53,0.9755,0.76963,1.16909,0.90892,0.70015,0.77011,0.58428,0.78977,0.58633,1.01557,0.00079705,0.00079705,0.00079705
43,3143.15,0.97228,0.75536,1.16283,0.89869,0.6958,0.77818,0.58318,0.84041,0.58347,1.02942,0.0007921,0.0007921,0.0007921
44,3215.99,0.96589,0.75593,1.16222,0.91398,0.69846,0.7701,0.55299,0.91629,0.6103,1.06267,0.00078715,0.00078715,0.00078715
45,3288.78,0.96321,0.76923,1.15707,0.91222,0.68512,0.77142,0.55366,0.92539,0.60984,1.07037,0.0007822,0.0007822,0.0007822
46,3361.96,0.96729,0.7655,1.1592,0.89711,0.69928,0.77888,0.57781,0.80306,0.59713,1.01851,0.00077725,0.00077725,0.00077725
47,3434.86,0.93235,0.73768,1.14509,0.8941,0.69308,0.76507,0.57355,0.82459,0.58264,1.0331,0.0007723,0.0007723,0.0007723
48,3507.93,0.93637,0.73173,1.15259,0.89698,0.71046,0.77704,0.57161,0.84774,0.58432,1.03168,0.00076735,0.00076735,0.00076735
49,3580.67,0.92506,0.71374,1.14225,0.93041,0.67469,0.76943,0.58409,0.77888,0.56521,1.01148,0.0007624,0.0007624,0.0007624
50,3653.31,0.93236,0.73196,1.14176,0.903,0.69713,0.77333,0.57243,0.85542,0.61003,1.0382,0.00075745,0.00075745,0.00075745
51,3726.56,0.93137,0.7333,1.14649,0.89552,0.70437,0.78297,0.59465,0.78045,0.58809,1.0111,0.0007525,0.0007525,0.0007525
52,3799.92,0.90987,0.70341,1.13005,0.90918,0.71633,0.78973,0.59481,0.77394,0.55371,1.00863,0.00074755,0.00074755,0.00074755
53,3872.88,0.9354,0.72279,1.13308,0.93055,0.67555,0.78102,0.57995,0.85449,0.58633,1.03404,0.0007426,0.0007426,0.0007426
54,3947.19,0.90719,0.70656,1.12534,0.92294,0.66765,0.77361,0.58862,0.78217,0.58489,1.01273,0.00073765,0.00073765,0.00073765
55,4020.4,0.89785,0.69408,1.11071,0.91733,0.71326,0.78473,0.59216,0.81373,0.55524,1.00891,0.0007327,0.0007327,0.0007327
56,4093.39,0.93959,0.7227,1.14256,0.91558,0.69819,0.77701,0.595,0.76195,0.5512,0.99641,0.00072775,0.00072775,0.00072775
57,4165.84,0.88637,0.69322,1.11147,0.88993,0.72553,0.78106,0.59776,0.77779,0.54707,0.99933,0.0007228,0.0007228,0.0007228
58,4238.48,0.89611,0.6967,1.10443,0.89563,0.71942,0.78866,0.59904,0.7677,0.5482,1.00136,0.00071785,0.00071785,0.00071785
59,4311.19,0.86902,0.67278,1.10478,0.88522,0.70925,0.774,0.59177,0.74561,0.55939,0.99359,0.0007129,0.0007129,0.0007129
60,4383.78,0.87217,0.66938,1.10445,0.92623,0.70337,0.78564,0.60052,0.75482,0.54624,0.98545,0.00070795,0.00070795,0.00070795
61,4456.44,0.88859,0.67862,1.12024,0.88278,0.72484,0.78449,0.59652,0.77899,0.57944,0.99733,0.000703,0.000703,0.000703
62,4529.3,0.8742,0.67591,1.09432,0.8972,0.713,0.78353,0.59872,0.7479,0.54527,0.98309,0.00069805,0.00069805,0.00069805
63,4602.92,0.87511,0.6651,1.10458,0.91589,0.69745,0.77928,0.58428,0.82942,0.56428,1.01905,0.0006931,0.0006931,0.0006931
64,4676.72,0.8544,0.64839,1.09293,0.89573,0.71912,0.78664,0.60312,0.73478,0.53773,0.99614,0.00068815,0.00068815,0.00068815
65,4749.66,0.86404,0.65751,1.10489,0.91918,0.70552,0.78664,0.60553,0.76264,0.53745,0.99481,0.0006832,0.0006832,0.0006832
